"payment_month","game_name","language","has_older_device_model","age","mrr","paid_users","arppu","new_paid_users","new_mrr","back_from_churn_users","back_from_churn_mrr","churned_users","churned_revenue","previous_paid_users","previous_mrr","churn_rate","revenue_churn_rate","expansion_mrr","contraction_mrr","net_mrr_growth","lt_months","ltv"
2022-03-01,game 3,ru,false,15,38.10,1,38.10,1,38.10,0,0,0,0,,,,,0,0,38.10,,
2022-03-01,game 3,ru,false,16,23.76,1,23.76,1,23.76,0,0,0,0,,,,,0,0,23.76,,
2022-03-01,game 3,ru,false,17,75.39,2,37.70,2,75.39,0,0,0,0,,,,,0,0,75.39,,
2022-03-01,game 3,ru,false,20,17.79,1,17.79,1,17.79,0,0,0,0,,,,,0,0,17.79,,
2022-03-01,game 3,ru,false,22,65.82,3,21.94,3,65.82,0,0,0,0,,,,,0,0,65.82,,
2022-03-01,game 3,ru,false,23,190.08,3,63.36,3,190.08,0,0,0,0,,,,,0,0,190.08,,
2022-03-01,game 3,ru,false,24,78.54,2,39.27,2,78.54,0,0,0,0,,,,,0,0,78.54,,
2022-03-01,game 3,ru,false,25,105.42,2,52.71,2,105.42,0,0,0,0,,,,,0,0,105.42,,
2022-03-01,game 3,ru,false,29,13.32,1,13.32,1,13.32,0,0,0,0,,,,,0,0,13.32,,
2022-03-01,game 3,ru,false,32,38.52,1,38.52,1,38.52,0,0,0,0,,,,,0,0,38.52,,
2022-03-01,game 3,ru,false,35,12.54,1,12.54,1,12.54,0,0,0,0,,,,,0,0,12.54,,
2022-03-01,game 3,uk,false,14,15.66,1,15.66,1,15.66,0,0,0,0,,,,,0,0,15.66,,
2022-03-01,game 3,uk,false,15,90.45,2,45.23,2,90.45,0,0,0,0,,,,,0,0,90.45,,
2022-03-01,game 3,uk,false,16,65.46,2,32.73,2,65.46,0,0,0,0,,,,,0,0,65.46,,
2022-03-01,game 3,uk,false,18,42.69,2,21.35,2,42.69,0,0,0,0,,,,,0,0,42.69,,
2022-03-01,game 3,uk,false,20,155.85,5,31.17,5,155.85,0,0,0,0,,,,,0,0,155.85,,
2022-03-01,game 3,uk,false,22,48.57,2,24.29,2,48.57,0,0,0,0,,,,,0,0,48.57,,
2022-03-01,game 3,uk,false,24,92.43,3,30.81,3,92.43,0,0,0,0,,,,,0,0,92.43,,
2022-03-01,game 3,uk,false,25,122.64,1,122.64,1,122.64,0,0,0,0,,,,,0,0,122.64,,
2022-03-01,game 3,uk,false,34,22.95,1,22.95,1,22.95,0,0,0,0,,,,,0,0,22.95,,
2022-03-01,game 3,uk,false,38,12.72,1,12.72,1,12.72,0,0,0,0,,,,,0,0,12.72,,
2022-03-01,game 3,uk,true,15,13.98,1,13.98,1,13.98,0,0,0,0,,,,,0,0,13.98,,
2022-03-01,game 3,uk,true,18,120.69,3,40.23,3,120.69,0,0,0,0,,,,,0,0,120.69,,
2022-03-01,game 3,uk,true,20,27.15,1,27.15,1,27.15,0,0,0,0,,,,,0,0,27.15,,
2022-04-01,game 3,en,false,20,21.33,1,21.33,1,21.33,0,0,0,0,,,,,0,0,21.33,,
